,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_54,4.0,7.04,159.24,0.1,1.0,0.3,0.3,41.0,495.3414634146341,319.45644458689884,3586.0,2.8493983449090594,1.1413013546004311
sim_55,4.0,2.06,155.82,0.1,1.0,0.3,0.3,27.0,729.9629629629629,529.9717310058103,2916.0,3.6617963753064466,1.6339460033098436
sim_56,4.0,8.0,267.5,0.1,1.0,0.3,0.3,58.0,375.94827586206895,268.48633320472203,3954.0,2.298385632405165,0.8683865553940362
sim_57,4.0,10.47,278.65,0.1,1.0,0.3,0.3,64.0,332.15625,228.8570254240352,4369.0,2.0946672709026934,0.8510546103637129
sim_58,4.0,3.4,367.74,0.1,1.0,0.3,0.3,56.0,393.5357142857143,278.75917437085076,3848.0,2.192935466221676,0.8150256985027956
sim_59,4.0,3.45,575.53,0.1,1.0,0.3,0.3,61.0,394.24590163934425,278.85542736057573,3930.0,1.818480931397325,0.6350631615773858
sim_130,4.0,3.04,72.46,0.1,1.0,0.3,0.3,14.0,918.1428571428571,895.8820758769266,2402.0,4.933922967716623,2.2577171537802374
sim_131,4.0,6.41,148.83,0.1,1.0,0.3,0.3,35.0,576.5714285714286,431.48496320194954,3424.0,3.060085637804612,1.3154854835862844
sim_132,4.0,9.2,48.27,0.1,1.0,0.3,0.3,22.0,557.4545454545455,596.2824016180075,3711.0,3.0363810416611097,1.4832240659539022
sim_133,4.0,11.55,121.1,0.1,1.0,0.3,0.3,45.0,437.6,289.40432308834335,4133.0,2.5105378395010947,1.1363094968023384
sim_134,4.0,2.16,250.27,0.1,1.0,0.3,0.3,45.0,437.6666666666667,367.6202751028113,3315.0,2.7315370875572564,1.0733024461015266
sim_135,4.0,7.09,276.91,0.1,1.0,0.3,0.3,51.0,429.4313725490196,299.4750475645715,3695.0,2.4249781635642003,0.9883601252019952
sim_136,4.0,7.18,360.97,0.1,1.0,0.3,0.3,56.0,396.25,332.6334452946237,4079.0,2.1045531841742315,0.8465961141785909
sim_137,4.0,2.48,425.63,0.1,1.0,0.3,0.3,55.0,406.6181818181818,313.94617320397697,3774.0,2.135400560605517,0.8015623354519231
sim_138,4.0,1.26,212.61,0.1,1.0,0.3,0.3,31.0,637.0967741935484,542.5945052121044,3194.0,3.158625513598546,1.4000551311169132
sim_139,4.0,13.91,594.31,0.1,1.0,0.3,0.3,64.0,348.515625,358.99408039111086,4483.0,1.5936041240691943,0.5663808444032317
sim_150,4.0,4.66,176.13,0.1,1.0,0.3,0.3,36.0,585.0,300.3424896865429,3200.0,3.1780818876743653,1.4033827044809057
sim_151,4.0,6.15,211.27,0.1,1.0,0.3,0.3,43.0,502.5348837209302,293.5226585950519,3637.0,2.666982446565087,1.1031191857341454
sim_152,4.0,12.24,38.7,0.1,1.0,0.3,0.3,0.0,0.0,0.0,2719.0,2.234093453033235,0.9436103810588481
sim_153,4.0,5.85,358.16,0.1,1.0,0.3,0.3,54.0,405.6666666666667,261.3293650492364,3965.0,2.1418043980319985,0.8299640817921663
sim_154,4.0,6.92,394.37,0.1,1.0,0.3,0.3,56.0,409.0892857142857,286.62203065471545,4032.0,2.0592398593845913,0.8183822184590671
sim_155,4.0,3.63,444.73,0.1,1.0,0.3,0.3,57.0,393.7368421052632,309.9572424568124,3973.0,2.0187611056597414,0.742688176591447
sim_156,4.0,8.49,405.42,0.1,1.0,0.3,0.3,63.0,363.04761904761904,287.84466868083877,4160.0,1.9473191266295895,0.7275592414585932
sim_157,4.0,2.97,410.18,0.1,1.0,0.3,0.3,50.0,464.88,328.360755267739,3810.0,2.1371397012402804,0.8524066822683773
sim_158,4.0,3.15,508.78,0.1,1.0,0.3,0.3,58.0,405.7241379310345,329.44518633100506,3781.0,2.000375071783575,0.7460247966433109
sim_159,4.0,13.68,524.88,0.1,1.0,0.3,0.3,65.0,377.5846153846154,304.2667297622871,4576.0,1.6474914747740552,0.5869896128397626
sim_20,4.0,7.93,135.03,0.1,1.0,0.3,0.3,44.0,471.34090909090907,295.68287243890035,3650.0,2.8908228020673583,1.2027905764858
sim_21,4.0,11.13,111.69,0.1,1.0,0.3,0.3,39.0,421.3333333333333,341.8831209288759,4087.0,2.5569784538849065,1.098481576357177
sim_22,4.0,4.76,249.43,0.1,1.0,0.3,0.3,47.0,439.1063829787234,330.63087562522713,3647.0,2.6033314088572412,1.0759556945087339
sim_23,4.0,2.84,295.29,0.1,1.0,0.3,0.3,49.0,413.18367346938777,420.1204236236193,3655.0,2.4660267629734958,0.9954606102000642
sim_24,4.0,4.11,308.75,0.1,1.0,0.3,0.3,50.0,445.0,314.1677895647483,3674.0,2.4214102390688153,0.9671386162369665
sim_25,4.0,3.3,489.99,0.1,1.0,0.3,0.3,58.0,392.6896551724138,260.0299191602801,3867.0,1.955236582850932,0.6997823709408153
sim_26,4.0,12.92,254.9,0.1,1.0,0.3,0.3,62.0,331.4516129032258,288.02652641163695,4645.0,2.03115362739285,0.8260632519900607
sim_27,4.0,9.16,451.52,0.1,1.0,0.3,0.3,65.0,348.7846153846154,232.40458702660305,4287.0,1.860902644375585,0.6682328685997608
sim_28,4.0,7.87,434.59,0.1,1.0,0.3,0.3,64.0,348.796875,318.030618597069,4152.0,1.9508201438728767,0.7452057398975042
sim_29,4.0,14.07,341.33,0.1,1.0,0.3,0.3,58.0,356.94827586206895,334.27664685849413,4802.0,1.8352369953963947,0.725194918409652
sim_220,4.0,8.34,152.62,0.1,1.0,0.3,0.3,44.0,458.95454545454544,288.4481956439456,3583.0,2.8170147588474834,1.1968939452133003
sim_221,4.0,10.3,154.41,0.1,1.0,0.3,0.3,53.0,388.8867924528302,283.4778391642966,4086.0,2.4939549557435416,1.0559310776924622
sim_222,4.0,12.11,193.97,0.1,1.0,0.3,0.3,56.0,365.2142857142857,249.39030757069145,4375.0,2.250795859360249,0.9340408370093063
sim_223,4.0,6.73,371.86,0.1,1.0,0.3,0.3,57.0,403.50877192982455,260.4641688531967,4111.0,2.0427864621755707,0.7461721802909339
sim_224,4.0,3.13,384.11,0.1,1.0,0.3,0.3,52.0,436.9807692307692,301.97233001007885,3720.0,2.181634228975463,0.8431501636657138
